hour,EV Load
0,1.3206349206340129
1,0.7111111111107841
2,0.30476190476266557
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.8126984126983392
13,0.8126984126983392
14,1.6253968253966784
15,1.6253968253966784
16,3.657142857135168
17,6.907936507945344
18,9.34603174602144
19,10.158730158734496
20,8.22857142856464
21,6.095238095232288
22,3.860317460318688
23,2.133333333332352
24,1.3206349206340129
25,0.7111111111107841
26,0.30476190476266557
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.8126984126983392
37,0.8126984126983392
38,1.6253968253966784
39,1.6253968253966784
40,3.657142857135168
41,6.907936507945344
42,9.34603174602144
43,10.158730158734496
44,8.22857142856464
45,6.095238095232288
46,3.860317460318688
47,2.133333333332352
48,1.3206349206340129
49,0.7111111111107841
50,0.30476190476266557
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.8126984126983392
57,0.8126984126983392
58,0.8126984126983392
59,0.30476190476266557
60,0.0
61,0.0
62,0.8126984126983392
63,1.3206349206340129
64,3.657142857135168
65,6.907936507945344
66,9.34603174602144
67,10.158730158734496
68,8.22857142856464
69,6.095238095232288
70,3.860317460318688
71,2.133333333332352
72,1.3206349206340129
73,0.7111111111107841
74,0.30476190476266557
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.8126984126983392
81,0.8126984126983392
82,0.8126984126983392
83,0.30476190476266557
84,0.0
85,0.0
86,0.8126984126983392
87,1.3206349206340129
88,3.657142857135168
89,6.907936507945344
90,9.34603174602144
91,10.158730158734496
92,8.22857142856464
93,6.095238095232288
94,3.860317460318688
95,2.133333333332352
96,1.3206349206340129
97,0.7111111111107841
98,0.30476190476266557
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.8126984126983392
105,0.8126984126983392
106,0.8126984126983392
107,0.30476190476266557
108,0.0
109,0.0
110,0.8126984126983392
111,1.3206349206340129
112,3.657142857135168
113,6.907936507945344
114,9.34603174602144
115,10.158730158734496
116,8.22857142856464
117,6.095238095232288
118,3.860317460318688
119,2.133333333332352
120,1.3206349206340129
121,0.7111111111107841
122,0.30476190476266557
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.8126984126983392
129,0.8126984126983392
130,0.8126984126983392
131,0.30476190476266557
132,0.0
133,0.0
134,0.8126984126983392
135,1.3206349206340129
136,3.657142857135168
137,6.907936507945344
138,9.34603174602144
139,10.158730158734496
140,8.22857142856464
141,6.095238095232288
142,3.860317460318688
143,2.133333333332352
144,1.3206349206340129
145,0.7111111111107841
146,0.30476190476266557
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.8126984126983392
153,0.8126984126983392
154,0.8126984126983392
155,0.30476190476266557
156,0.0
157,0.0
158,0.8126984126983392
159,1.3206349206340129
160,3.657142857135168
161,6.907936507945344
162,9.34603174602144
163,10.158730158734496
164,8.22857142856464
165,6.095238095232288
166,3.860317460318688
167,2.133333333332352
168,1.3206349206340129
169,0.7111111111107841
170,0.30476190476266557
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.8126984126983392
181,0.8126984126983392
182,1.6253968253966784
183,1.6253968253966784
184,3.657142857135168
185,6.907936507945344
186,9.34603174602144
187,10.158730158734496
188,8.22857142856464
189,6.095238095232288
190,3.860317460318688
191,2.133333333332352
192,1.3206349206340129
193,0.7111111111107841
194,0.30476190476266557
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.8126984126983392
205,0.8126984126983392
206,1.6253968253966784
207,1.6253968253966784
208,3.657142857135168
209,6.907936507945344
210,9.34603174602144
211,10.158730158734496
212,8.22857142856464
213,6.095238095232288
214,3.860317460318688
215,2.133333333332352
216,1.3206349206340129
217,0.7111111111107841
218,0.30476190476266557
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.8126984126983392
225,0.8126984126983392
226,0.8126984126983392
227,0.30476190476266557
228,0.0
229,0.0
230,0.8126984126983392
231,1.3206349206340129
232,3.657142857135168
233,6.907936507945344
234,9.34603174602144
235,10.158730158734496
236,8.22857142856464
237,6.095238095232288
238,3.860317460318688
239,2.133333333332352
240,1.3206349206340129
241,0.7111111111107841
242,0.30476190476266557
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.8126984126983392
249,0.8126984126983392
250,0.8126984126983392
251,0.30476190476266557
252,0.0
253,0.0
254,0.8126984126983392
255,1.3206349206340129
256,3.657142857135168
257,6.907936507945344
258,9.34603174602144
259,10.158730158734496
260,8.22857142856464
261,6.095238095232288
262,3.860317460318688
263,2.133333333332352
264,1.3206349206340129
265,0.7111111111107841
266,0.30476190476266557
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.8126984126983392
273,0.8126984126983392
274,0.8126984126983392
275,0.30476190476266557
276,0.0
277,0.0
278,0.8126984126983392
279,1.3206349206340129
280,3.657142857135168
281,6.907936507945344
282,9.34603174602144
283,10.158730158734496
284,8.22857142856464
285,6.095238095232288
286,3.860317460318688
287,2.133333333332352
288,1.3206349206340129
289,0.7111111111107841
290,0.30476190476266557
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.8126984126983392
297,0.8126984126983392
298,0.8126984126983392
299,0.30476190476266557
300,0.0
301,0.0
302,0.8126984126983392
303,1.3206349206340129
304,3.657142857135168
305,6.907936507945344
306,9.34603174602144
307,10.158730158734496
308,8.22857142856464
309,6.095238095232288
310,3.860317460318688
311,2.133333333332352
312,1.3206349206340129
313,0.7111111111107841
314,0.30476190476266557
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.8126984126983392
321,0.8126984126983392
322,0.8126984126983392
323,0.30476190476266557
324,0.0
325,0.0
326,0.8126984126983392
327,1.3206349206340129
328,3.657142857135168
329,6.907936507945344
330,9.34603174602144
331,10.158730158734496
332,8.22857142856464
333,6.095238095232288
334,3.860317460318688
335,2.133333333332352
336,1.3206349206340129
337,0.7111111111107841
338,0.30476190476266557
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.8126984126983392
349,0.8126984126983392
350,1.6253968253966784
351,1.6253968253966784
352,3.657142857135168
353,6.907936507945344
354,9.34603174602144
355,10.158730158734496
356,8.22857142856464
357,6.095238095232288
358,3.860317460318688
359,2.133333333332352
360,1.3206349206340129
361,0.7111111111107841
362,0.30476190476266557
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.8126984126983392
373,0.8126984126983392
374,1.6253968253966784
375,1.6253968253966784
376,3.657142857135168
377,6.907936507945344
378,9.34603174602144
379,10.158730158734496
380,8.22857142856464
381,6.095238095232288
382,3.860317460318688
383,2.133333333332352
384,1.3206349206340129
385,0.7111111111107841
386,0.30476190476266557
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.8126984126983392
393,0.8126984126983392
394,0.8126984126983392
395,0.30476190476266557
396,0.0
397,0.0
398,0.8126984126983392
399,1.3206349206340129
400,3.657142857135168
401,6.907936507945344
402,9.34603174602144
403,10.158730158734496
404,8.22857142856464
405,6.095238095232288
406,3.860317460318688
407,2.133333333332352
408,1.3206349206340129
409,0.7111111111107841
410,0.30476190476266557
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.8126984126983392
417,0.8126984126983392
418,0.8126984126983392
419,0.30476190476266557
420,0.0
421,0.0
422,0.8126984126983392
423,1.3206349206340129
424,3.657142857135168
425,6.907936507945344
426,9.34603174602144
427,10.158730158734496
428,8.22857142856464
429,6.095238095232288
430,3.860317460318688
431,2.133333333332352
432,1.3206349206340129
433,0.7111111111107841
434,0.30476190476266557
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.8126984126983392
441,0.8126984126983392
442,0.8126984126983392
443,0.30476190476266557
444,0.0
445,0.0
446,0.8126984126983392
447,1.3206349206340129
448,3.657142857135168
449,6.907936507945344
450,9.34603174602144
451,10.158730158734496
452,8.22857142856464
453,6.095238095232288
454,3.860317460318688
455,2.133333333332352
456,1.3206349206340129
457,0.7111111111107841
458,0.30476190476266557
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.8126984126983392
465,0.8126984126983392
466,0.8126984126983392
467,0.30476190476266557
468,0.0
469,0.0
470,0.8126984126983392
471,1.3206349206340129
472,3.657142857135168
473,6.907936507945344
474,9.34603174602144
475,10.158730158734496
476,8.22857142856464
477,6.095238095232288
478,3.860317460318688
479,2.133333333332352
480,1.3206349206340129
481,0.7111111111107841
482,0.30476190476266557
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.8126984126983392
489,0.8126984126983392
490,0.8126984126983392
491,0.30476190476266557
492,0.0
493,0.0
494,0.8126984126983392
495,1.3206349206340129
496,3.657142857135168
497,6.907936507945344
